index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,smogon_vgc_usage_2022,smogon_vgc_usage_2023,smogon_vgc_usage_2024,worlds_vgc_usage_2022,worlds_vgc_usage_2023,worlds_vgc_usage_2024,avg_smogon_usage,avg_worlds_usage,avg_total_usage,high_usage
1,bulbasaur,grass,poison,overgrow,none,chlorophyll,45,49,49,65,65,45,318,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,ivysaur,grass,poison,overgrow,none,chlorophyll,60,62,63,80,80,60,405,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,venusaur,grass,poison,overgrow,none,chlorophyll,80,82,83,100,100,80,525,False,False,generation-i,20.83915,0.0,0.4441,19.62,0.0,0.09,7.094416666666667,6.57,6.832208333333334,1
3,venusaur-mega,grass,poison,thick-fat,none,none,80,100,123,122,120,80,625,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,venusaur-gmax,grass,poison,overgrow,none,chlorophyll,80,82,83,100,100,80,525,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,charmander,fire,no_type,blaze,none,solar-power,39,52,43,60,50,65,309,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,charmeleon,fire,no_type,blaze,none,solar-power,58,64,58,80,65,80,405,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,charizard,fire,flying,blaze,none,solar-power,78,84,78,109,85,100,534,False,False,generation-i,7.17374,0.44681,0.04722,20.53,0.0,3.19,2.5559233333333333,7.906666666666667,5.231295,1
6,charizard-mega-x,fire,dragon,tough-claws,none,none,78,130,111,130,85,100,634,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,charizard-mega-y,fire,flying,drought,none,none,78,104,78,159,115,100,634,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,charizard-gmax,fire,flying,blaze,none,solar-power,78,84,78,109,85,100,534,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,squirtle,water,no_type,torrent,none,rain-dish,44,48,65,50,64,43,314,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,wartortle,water,no_type,torrent,none,rain-dish,59,63,80,65,80,58,405,False,False,generation-i,0.0,0.0,0.00017,0.0,0.0,0.0,5.666666666666667e-05,0.0,2.8333333333333335e-05,0
9,blastoise,water,no_type,torrent,none,rain-dish,79,83,100,85,105,78,530,False,False,generation-i,3.58274,0.0,0.14874,4.98,0.0,0.18,1.2438266666666666,1.72,1.4819133333333334,1
9,blastoise-mega,water,no_type,mega-launcher,none,none,79,103,120,135,115,78,630,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,blastoise-gmax,water,no_type,torrent,none,rain-dish,79,83,100,85,105,78,530,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,caterpie,bug,no_type,shield-dust,none,run-away,45,30,35,20,20,45,195,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,metapod,bug,no_type,shed-skin,none,none,50,20,55,25,25,30,205,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,butterfree,bug,flying,compound-eyes,none,tinted-lens,60,45,50,90,80,70,395,False,False,generation-i,0.04471,0.0,0.0,0.04,0.0,0.0,0.014903333333333333,0.013333333333333334,0.014118333333333333,0
12,butterfree-gmax,bug,flying,compound-eyes,none,tinted-lens,60,45,50,90,80,70,395,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,weedle,bug,poison,shield-dust,none,run-away,40,35,30,20,20,50,195,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,kakuna,bug,poison,shed-skin,none,none,45,25,50,25,25,35,205,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,beedrill,bug,poison,swarm,none,sniper,65,90,40,45,80,75,395,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,beedrill-mega,bug,poison,adaptability,none,none,65,150,40,15,80,145,495,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,pidgey,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,251,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,pidgeotto,normal,flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,349,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,pidgeot,normal,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,479,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,pidgeot-mega,normal,flying,no-guard,none,none,83,80,80,135,80,121,579,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,rattata,normal,no_type,run-away,guts,hustle,30,56,35,25,35,72,253,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,rattata-alola,dark,normal,gluttony,hustle,thick-fat,30,56,35,25,35,72,253,False,False,generation-i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
