number,name,type1,type2,total_stats,hp,attack,defense,sp_atk,sp_def,speed,generation,legendary
1,bulbasaur,grass,poison,318,45,49,49,65,65,45,1,False
2,ivysaur,grass,poison,405,60,62,63,80,80,60,1,False
3,venusaur,grass,poison,525,80,82,83,100,100,80,1,False
3,mega venusaur,grass,poison,625,80,100,123,122,120,80,1,False
3,gigantamax venusaur,grass,poison,525,80,82,83,100,100,80,1,False
4,charmander,fire,none,309,39,52,43,60,50,65,1,False
5,charmeleon,fire,none,405,58,64,58,80,65,80,1,False
6,charizard,fire,flying,534,78,84,78,109,85,100,1,False
6,mega charizard x,fire,dragon,634,78,130,111,130,85,100,1,False
6,mega charizard y,fire,flying,634,78,104,78,159,115,100,1,False
6,gigantamax charizard,fire,flying,534,78,84,78,109,85,100,1,False
7,squirtle,water,none,314,44,48,65,50,64,43,1,False
8,wartortle,water,none,405,59,63,80,65,80,58,1,False
9,blastoise,water,none,530,79,83,100,85,105,78,1,False
9,mega blastoise,water,none,630,79,103,120,135,115,78,1,False
9,gigantamax blasoise,blastoise,water,530,79,83,100,85,105,78,1,False
10,caterpie,bug,none,195,45,30,35,20,20,45,1,False
11,metapod,bug,none,205,50,20,55,25,25,30,1,False
12,butterfree,bug,flying,395,60,45,50,90,80,70,1,False
12,gigantamax butterfree,bug,flying,395,60,45,50,90,80,70,1,False
13,weedle,bug,poison,195,40,35,30,20,20,50,1,False
14,kakuna,bug,poison,205,45,25,50,25,25,35,1,False
15,beedrill,bug,poison,395,65,90,40,45,80,75,1,False
15,mega beedrill,bug,poison,495,65,150,40,15,80,145,1,False
16,pidgey,normal,flying,251,40,45,40,35,35,56,1,False
17,pidgeotto,normal,flying,349,63,60,55,50,50,71,1,False
18,pidgeot,normal,flying,479,83,80,75,70,70,101,1,False
18,mega pidgeot,normal,flying,579,83,80,80,135,80,121,1,False
19,rattata,normal,none,253,30,56,35,25,35,72,1,False
19,alolan rattata,dark,normal,253,30,56,35,25,35,72,7,False
20,raticate,normal,none,413,55,81,60,50,70,97,1,False
20,alolan raticate,dark,normal,413,75,71,70,40,80,77,7,False
21,spearow,normal,flying,262,40,60,30,31,31,70,1,False
22,fearow,normal,flying,442,65,90,65,61,61,100,1,False
23,ekans,poison,none,288,35,60,44,40,54,55,1,False
24,arbok,poison,none,438,60,85,69,65,79,80,1,False
25,pikachu,electric,none,320,35,55,40,50,50,90,1,False
25,gigantamax pikachu,electric,none,320,35,55,40,50,50,90,1,False
26,raichu,electric,none,485,60,90,55,90,80,110,1,False
26,alolan raichu,electric,psychic,485,60,85,50,95,85,110,7,False
27,sandshrew,ground,none,300,50,75,85,20,30,40,1,False
27,alolan sandshrew,ice,steel,300,50,75,90,10,35,40,7,False
28,sandslash,ground,none,450,75,100,110,45,55,65,1,False
28,alolan sandslash,ice,steel,450,75,100,120,25,65,65,7,False
29,nidoran♀,poison,none,275,55,47,52,40,40,41,1,False
30,nidorina,poison,none,365,70,62,67,55,55,56,1,False
31,nidoqueen,poison,ground,505,90,92,87,75,85,76,1,False
32,nidoran♂,poison,none,273,46,57,40,40,40,50,1,False
33,nidorino,poison,none,365,61,72,57,55,55,65,1,False
34,nidoking,poison,ground,505,81,102,77,85,75,85,1,False
35,clefairy,fairy,none,323,70,45,48,60,65,35,1,False
36,clefable,fairy,none,483,95,70,73,95,90,60,1,False
37,vulpix,fire,none,299,38,41,40,50,65,65,1,False
37,alolan vulpix,ice,none,299,38,41,40,50,65,65,7,False
38,ninetales,fire,none,505,73,76,75,81,100,100,1,False
38,alolan ninetales,ice,fairy,505,73,67,75,81,100,109,7,False
39,jigglypuff,normal,fairy,270,115,45,20,45,25,20,1,False
40,wigglytuff,normal,fairy,435,140,70,45,85,50,45,1,False
41,zubat,poison,flying,245,40,45,35,30,40,55,1,False
42,golbat,poison,flying,455,75,80,70,65,75,90,1,False
43,oddish,grass,poison,320,45,50,55,75,65,30,1,False
44,gloom,grass,poison,395,60,65,70,85,75,40,1,False
45,vileplume,grass,poison,490,75,80,85,110,90,50,1,False
46,paras,bug,grass,285,35,70,55,45,55,25,1,False
